,brand,name,image_url,rating_star,ratings,reviews,processor_brand,processor,generation,ram,ram_type,operating_system,rom,display,warranty,actual_price,discount_price,discount
84,ASUS,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/y/p/-original-imahcd9pdsaxtwzk.jpeg?q=70,4.0,49,5,Intel,Intel Core i5 Processor (12th Gen),12,16,DDR4,Windows 11 Operating System,512,39.62,1,74990,44990,40
85,Acer,Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/k/d/-original-imahb2kbf2zdan3z.jpeg?q=70,4.1,1422,127,AMD,AMD Ryzen 5 Hexa Core Processor,,16,DDR4,Windows 11 Operating System,1,39.62,1,63999,36990,42
86,Lenovo,Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/8/j/c/-original-imahehrb5fvx8uuq.jpeg?q=70,,,,Qualcomm,Qualcomm Snapdragon X Processor,,16,LPDDR5X,Windows 11 Home Operating System,512,,1,93490,57990,37
87,Lenovo,Lenovo Yoga Slim 6 WUXGA OLED Intel Core i5 13th Gen 13500H - (16 GB/1 TB SSD/Windows 11 Home) 14IRH8 ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/v/2/-original-imahcd9j4x8fbg8j.jpeg?q=70,4.4,376,42,Intel,Intel Core i5 Processor (13th Gen),13,16,LPDDR5X,Windows 11 Operating System,1,,1,114690,70990,38
88,ASUS,ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK323...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/v/z/-original-imahcd9n7s6fasde.jpeg?q=70,4.4,4148,452,AMD,AMD Ryzen 3 Quad Core Processor,,8,LPDDR5,Windows 11 Operating System,512,39.62,1,61990,34990,43
89,MSI,MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/d/m/-original-imahcd9jh2tzkfzf.jpeg?q=70,4.3,1453,113,Intel,Intel Core i5 Processor (12th Gen),12,16,DDR4,Windows 11 Operating System,512,39.62,2,70990,55990,21
90,Acer,Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/i/0/-original-imahcfdf4x4zchpg.jpeg?q=70,4.3,402,32,Intel,Intel Core i5 Processor (13th Gen),13,16,DDR4,Windows 11 Operating System,512,35.56,1,66999,40990,38
91,ASUS,"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Metallic Design, Copilot+ PC Qualcomm Snapdra...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/g/d/-original-imahefyfyqwuhhga.jpeg?q=70,4.7,10,0,Qualcomm,Qualcomm Snapdragon X Processor,,16,LPDDR5X,Windows 11 Home Operating System,512,,1,92990,67990,26
92,Acer,Acer Aspire Lite AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/k/d/-original-imahb2kbf2zdan3z.jpeg?q=70,4.0,325,33,AMD,AMD Ryzen 7 Octa Core Processor,,16,DDR4,Windows 11 Operating System,512,39.62,1,63999,39990,37
93,ASUS,ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ320WS Thin...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/d/z/-original-imahcd9kr2hjnhsc.jpeg?q=70,4.2,650,53,Intel,Intel Core i3 Processor (13th Gen),13,8,DDR4,Windows 11 Operating System,512,39.62,1,54990,33990,38
94,ASUS,ASUS Vivobook 16X (2025) with Office 2024 + M365 Basic* Intel Core i5 13th Gen 13420H - (16 GB/512 GB ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/f/y/-original-imahcyp7e46t8z23.jpeg?q=70,4.3,266,16,Intel,Intel Core i5 Processor (13th Gen),13,16,DDR4,Windows 11 Home Operating System,512,,1,89990,64990,27
